56	59	0.95861
52.5	66.6	1.06493
43	52	0.98009
60.8	60.2	0.9197
58.5	73.1	0.977
49.5	68.6	0.97799
53.5	54.2	1.007764138
49.7	60.9	1.0779
55.9	20	0.91464
53	23	0.89199
68	25	0.91216
60.4	33.3	0.88964
75	42.6	0.85889
62	48	0.87155
53	35	0.88529
0	0	1
60.3	47.6	0.9704
58	58	1.01045
60.34	57.9	1.04678
78.3	52	0.88382
72.3	52	1.00691
103	57.5	0.9097
77.5	58	0.97092
0	0	1
85	69	0.95409
91	61	1.05015
82.2	72.2	0.96323
79	88.6	1.01094
68.4	68.1	0.96317
85.6	62	0.96016
88.8	78.4	0.92785
65.6	82.6	0.9396
52.3	50.4	1.03601
57.7	50.4	1.043
58.3	66.8	1.04645
48.5	61	1.01277
68	61	1.0232
69	63	1.036
64.9	50.4	1.10625
61.3	66.8	1.01335
55	52	0.95824
193	136	0.96544
107	72	1.19541
113	112	1.00356
142	84	0.90909
163	107	0.96424
114	113	1.03166
84.8	107.4	1.77598
56.6	97.8	1.02912
79	87.6	0.99461
75.2	78.6	1.03984
71.4	81.4	1.03285
107	112	1.0635
86.2	69.2	1.02334
84.8	81.5	1.0819
80.5	96.6	0.91982
60	90.4	1.02269
61.5	108.1	0.9795
50.4	85.5	0.92152
39	82	1.03787
75.2	108.1	0.92129
58.3	73.5	0.96254
64	108.4	0.89149
59.4	95.6	1.05967

